职位名称,公司名称,工作地点,薪资,工作经验,学历要求
java/c++/C/Python/前端开发工程师,外企德科数字技术有限公司,杭州·滨江·长河,1.5-3万·14薪,经验不限,本科
java/c++/C/Python/前端开发工程师,外企德科数字技术有限公司,杭州·滨江·长河,1.5-3万·14薪,经验不限,本科
Java/C/C++/Python/前端/测试（接受应届）,外企德科数字技术有限公司,深圳·龙岗·坂田,1.6-3万,经验不限,本科
Java/C/C++/Python/前端/测试（接受应届）,外企德科数字技术有限公司,深圳·龙岗·坂田,1.6-3万,经验不限,本科
软件开发（多语言 Java Python C/C++js等测试,外企德科数字技术有限公司,深圳·龙岗·坂田,1.2-2.4万,经验不限,本科
软件开发（多语言 Java Python C/C++js等测试,外企德科数字技术有限公司,深圳·龙岗·坂田,1.2-2.4万,经验不限,本科
java/c++/python后端开发/软件测试,外企德科数字技术有限公司,西安·雁塔·丈八沟,1.5-3万·16薪,经验不限,本科
java/c++/python后端开发/软件测试,外企德科数字技术有限公司,西安·雁塔·丈八沟,1.5-3万·16薪,经验不限,本科
Java/python/JS/C++/测试(核心项目 年终奖,外企德科数字技术有限公司,苏州·工业园区,1.8-3.5万·16薪,经验不限,本科
Java/python/JS/C++/测试(核心项目 年终奖,外企德科数字技术有限公司,苏州·工业园区,1.8-3.5万·16薪,经验不限,本科
JAVA/C++/C/Python 14薪双休 应届生可投,外企德科数字技术有限公司,南京·秦淮·五老村,1.5-3万,经验不限,本科
JAVA/C++/C/Python 14薪双休 应届生可投,外企德科数字技术有限公司,南京·秦淮·五老村,1.5-3万,经验不限,本科
软件开发（多语言 Java Python C/C++js等测试）,外企德科数字技术有限公司,成都·郫都·合作街道,1.2-2.4万,经验不限,本科
软件开发（多语言 Java Python C/C++js等测试）,外企德科数字技术有限公司,成都·郫都·合作街道,1.2-2.4万,经验不限,本科
Java\C\C++\Python软件开发工程师,外企德科数字技术有限公司,杭州·滨江·长河,1.2-2.4万·14薪,经验不限,本科
Java\C\C++\Python软件开发工程师,外企德科数字技术有限公司,杭州·滨江·长河,1.2-2.4万·14薪,经验不限,本科
Java/C++/C/Python/GO/JS,外企德科数字技术有限公司,南京·江宁·秣陵,1.2-2.4万·15薪,经验不限,本科
Java/C++/C/Python/GO/JS,外企德科数字技术有限公司,南京·江宁·秣陵,1.2-2.4万·15薪,经验不限,本科
Java/C/C++/Python/JS 软件开发（多部门推荐）,外企德科数字技术有限公司,成都·郫都·合作街道,1.6-3万·14薪,经验不限,本科
Java/C/C++/Python/JS 软件开发（多部门推荐）,外企德科数字技术有限公司,成都·郫都·合作街道,1.6-3万·14薪,经验不限,本科
Java/python/JS/C++/C#\开发测试都可投递,外企德科数字技术有限公司,深圳·龙岗·坂田,1.5-3万,无经验,本科
Java/python/JS/C++/C#\开发测试都可投递,外企德科数字技术有限公司,深圳·龙岗·坂田,1.5-3万,无经验,本科
软件开发/测试（JAVA/C/Python/web）等,外企德科数字技术有限公司,北京·海淀,1.4-2.7万·16薪,经验不限,本科
软件开发/测试（JAVA/C/Python/web）等,外企德科数字技术有限公司,北京·海淀,1.4-2.7万·16薪,经验不限,本科
软件开发/测试（JAVA/C/Python/web）等,外企德科数字技术有限公司,西安·雁塔·漳浒寨,1.4-2.7万·16薪,经验不限,本科
软件开发/测试（JAVA/C/Python/web）等,外企德科数字技术有限公司,西安·雁塔·漳浒寨,1.4-2.7万·16薪,经验不限,本科
月薪15-35k/java/c++/python后端开发/算法、测试,外企德科数字技术有限公司,武汉·江夏·豹澥,1.5-3万·14薪,经验不限,学历不限
月薪15-35k/java/c++/python后端开发/算法、测试,外企德科数字技术有限公司,武汉·江夏·豹澥,1.5-3万·14薪,经验不限,学历不限
python开发/测试开发,外企德科数字技术有限公司,武汉·江夏·豹澥,1.3-2.6万·14薪,经验不限,本科
python开发/测试开发,外企德科数字技术有限公司,武汉·江夏·豹澥,1.3-2.6万·14薪,经验不限,本科
python后端开发工程师,外企德科数字技术有限公司,北京·海淀,1.5-3万,经验不限,本科
python后端开发工程师,外企德科数字技术有限公司,北京·海淀,1.5-3万,经验不限,本科
云服务python开发（双休，六险一金）,外企德科数字技术有限公司,杭州·滨江·浦沿,1.2-1.8万,经验不限,本科
云服务python开发（双休，六险一金）,外企德科数字技术有限公司,杭州·滨江·浦沿,1.2-1.8万,经验不限,本科
软件研发工程师（有Java、C、C++、Python、go、JS等）,外企德科数字技术有限公司,深圳·龙岗·坂田,1.2-2.4万·14薪,经验不限,本科
软件研发工程师（有Java、C、C++、Python、go、JS等）,外企德科数字技术有限公司,深圳·龙岗·坂田,1.2-2.4万·14薪,经验不限,本科
Java/Python/C/C++/数开/测试/算法/前端岗,外企德科数字技术有限公司,东莞·大朗镇,1.5-3万·14薪,经验不限,本科
Java/Python/C/C++/数开/测试/算法/前端岗,外企德科数字技术有限公司,东莞·大朗镇,1.5-3万·14薪,经验不限,本科
Java/C/C++/python/GO/web/测试,外企德科数字技术有限公司,杭州·滨江·长河,1.3-2.6万,经验不限,本科
Java/C/C++/python/GO/web/测试,外企德科数字技术有限公司,杭州·滨江·长河,1.3-2.6万,经验不限,本科
C++/前端/Java/Python/C/go开发工程师,外企德科数字技术有限公司,苏州·虎丘,1.5-3万·14薪,经验不限,本科
C++/前端/Java/Python/C/go开发工程师,外企德科数字技术有限公司,苏州·虎丘,1.5-3万·14薪,经验不限,本科
C++/前端/Java/Python/C/go开发工程师,外企德科数字技术有限公司,苏州·虎丘,1.5-3万·14薪,经验不限,本科
C++/前端/Java/Python/C/go开发工程师,外企德科数字技术有限公司,苏州·虎丘,1.5-3万·14薪,经验不限,本科
JAVA/C/C++/Python/go/web开发工程师 全国岗14薪，全额社保公积金 应届生/考研/考公失败可投,外企德科数字技术有限公司,广州·白云·松洲,1.5-3万·14薪,经验不限,本科
JAVA/C/C++/Python/go/web开发工程师 全国岗14薪，全额社保公积金 应届生/考研/考公失败可投,外企德科数字技术有限公司,广州·白云·松洲,1.5-3万·14薪,经验不限,本科
Java/C/C++/Python/前端/测试（接受应届）,外企德科数字技术有限公司,上海·浦东·金桥,1.5-3万·14薪,经验不限,本科
Java/C/C++/Python/前端/测试（接受应届）,外企德科数字技术有限公司,上海·浦东·金桥,1.5-3万·14薪,经验不限,本科
Java/前端/Python/C/C++/go开发工程师,外企德科数字技术有限公司,南京·雨花台·雨花,1.5-3万·14薪,经验不限,本科
Java/前端/Python/C/C++/go开发工程师,外企德科数字技术有限公司,南京·雨花台·雨花,1.5-3万·14薪,经验不限,本科
C/C++/Java/Python/Go通用软件开发/测试,外企德科数字技术有限公司,杭州·滨江·长河,1.5-3万,经验不限,本科
C/C++/Java/Python/Go通用软件开发/测试,外企德科数字技术有限公司,杭州·滨江·长河,1.5-3万,经验不限,本科
Java/c/c++/python/js软件开发工程师,外企德科数字技术有限公司,杭州·滨江·长河,1.4-2.8万·14薪,经验不限,本科
Java/c/c++/python/js软件开发工程师,外企德科数字技术有限公司,杭州·滨江·长河,1.4-2.8万·14薪,经验不限,本科
java/c/c++/python/测试 双休 高薪 五险一金,外企德科数字技术有限公司,南京·雨花台·雨花,1.5-3万·16薪,经验不限,本科
java/c/c++/python/测试 双休 高薪 五险一金,外企德科数字技术有限公司,南京·雨花台·雨花,1.5-3万·16薪,经验不限,本科
JAVA/C++/C/Python 14薪双休 应届生可投,外企德科数字技术有限公司,西安·雁塔·漳浒寨,1.5-3万,经验不限,本科
JAVA/C++/C/Python 14薪双休 应届生可投,外企德科数字技术有限公司,西安·雁塔·漳浒寨,1.5-3万,经验不限,本科
C/C++/Java/Python/Go通用软件开发/测试,外企德科数字技术有限公司,广州·白云·松洲,1.5-3万,经验不限,本科
C/C++/Java/Python/Go通用软件开发/测试,外企德科数字技术有限公司,广州·白云·松洲,1.5-3万,经验不限,本科
JAVA/C++/C/Python 14薪双休 应届生可投,外企德科数字技术有限公司,北京·朝阳·建外,1.5-3万,经验不限,本科
JAVA/C++/C/Python 14薪双休 应届生可投,外企德科数字技术有限公司,北京·朝阳·建外,1.5-3万,经验不限,本科
Java/C/C++/Python/JS 软件开发（多部门推荐）,外企德科数字技术有限公司,南京·雨花台·雨花,1.6-3万·14薪,经验不限,本科
Java/C/C++/Python/JS 软件开发（多部门推荐）,外企德科数字技术有限公司,南京·雨花台·雨花,1.6-3万·14薪,经验不限,本科
Java/C/C++/Python/JS 软件开发（多部门推荐）,外企德科数字技术有限公司,东莞·大朗镇,1.6-3万·14薪,经验不限,本科
Java/C/C++/Python/JS 软件开发（多部门推荐）,外企德科数字技术有限公司,东莞·大朗镇,1.6-3万·14薪,经验不限,本科
Java/c/c++/python/js软件开发工程师,外企德科数字技术有限公司,南京·雨花台·雨花,1.4-2.8万·14薪,经验不限,本科
Java/c/c++/python/js软件开发工程师,外企德科数字技术有限公司,南京·雨花台·雨花,1.4-2.8万·14薪,经验不限,本科
测试/前端/后端开发工程师Java/C/C++/Python,外企德科数字技术有限公司,成都·武侯·桂溪,1.5-2.8万·14薪,经验不限,本科
测试/前端/后端开发工程师Java/C/C++/Python,外企德科数字技术有限公司,成都·武侯·桂溪,1.5-2.8万·14薪,经验不限,本科
Java/C/C++/Python/Go+前端+算法+测试+全国,外企德科数字技术有限公司,上海·浦东·金桥,1.5-3万·16薪,经验不限,本科
Java/C/C++/Python/Go+前端+算法+测试+全国,外企德科数字技术有限公司,上海·浦东·金桥,1.5-3万·16薪,经验不限,本科
软件开发工程师(Java/C/C++/Python/Js),外企德科数字技术有限公司,北京·昌平·史各庄,1.5-3万,经验不限,本科
软件开发工程师(Java/C/C++/Python/Js),外企德科数字技术有限公司,北京·昌平·史各庄,1.5-3万,经验不限,本科
月薪15-35k/java/c++/python后端开发/,外企德科数字技术有限公司,深圳·龙岗·坂田,1.5-3万·14薪,经验不限,本科
月薪15-35k/java/c++/python后端开发/,外企德科数字技术有限公司,深圳·龙岗·坂田,1.5-3万·14薪,经验不限,本科
python（接受无经验，全国base，全额五险，年假福利，团建）,外企德科数字技术有限公司,武汉·江夏·豹澥,1.3-2.6万·14薪,1年以下,本科
python（接受无经验，全国base，全额五险，年假福利，团建）,外企德科数字技术有限公司,武汉·江夏·豹澥,1.3-2.6万·14薪,1年以下,本科
Java/Python/C/C++/数开/测试/算法/前端岗,外企德科数字技术有限公司,苏州·工业园区,1.5-3万·14薪,经验不限,本科
Java/Python/C/C++/数开/测试/算法/前端岗,外企德科数字技术有限公司,苏州·工业园区,1.5-3万·14薪,经验不限,本科
Java/Python/C/C++/Web/测试开发,外企德科数字技术有限公司,东莞·大朗镇,1.3-2.6万·16薪,经验不限,本科
Java/Python/C/C++/Web/测试开发,外企德科数字技术有限公司,东莞·大朗镇,1.3-2.6万·16薪,经验不限,本科
测试工程师/软件开发（C/C++、Java、Scala、Python、go，JS/前端/测试等）,外企德科数字技术有限公司,深圳·龙岗·坂田,1.2-2万·14薪,经验不限,本科
测试工程师/软件开发（C/C++、Java、Scala、Python、go，JS/前端/测试等）,外企德科数字技术有限公司,深圳·龙岗·坂田,1.2-2万·14薪,经验不限,本科
测试工程师/软件开发（C/C++、Java、Scala、Python、go，JS/前端/测试等）,外企德科数字技术有限公司,深圳·龙岗·坂田,1.2-2万·14薪,经验不限,本科
测试工程师/软件开发（C/C++、Java、Scala、Python、go，JS/前端/测试等）,外企德科数字技术有限公司,深圳·龙岗·坂田,1.2-2万·14薪,经验不限,本科
c/c++/java/python开发/测试【base上海】,外企德科数字技术有限公司,上海·浦东·金桥,1.2-2万·14薪,经验不限,本科
c/c++/java/python开发/测试【base上海】,外企德科数字技术有限公司,上海·浦东·金桥,1.2-2万·14薪,经验不限,本科
Java/python/JS/GO/算法/测试/c ++,外企德科数字技术有限公司,深圳·龙岗·坂田,1.3-2.6万·14薪,无经验,本科
Java/python/JS/GO/算法/测试/c ++,外企德科数字技术有限公司,深圳·龙岗·坂田,1.3-2.6万·14薪,无经验,本科
C/C++/Java/Python/JS软件开发/算法/数据,外企德科数字技术有限公司,南昌·红谷滩,1.7-3万·15薪,经验不限,本科
C/C++/Java/Python/JS软件开发/算法/数据,外企德科数字技术有限公司,南昌·红谷滩,1.7-3万·15薪,经验不限,本科
Java/Python/C/C++/Web/测试工程师,外企德科数字技术有限公司,深圳·龙岗·坂田,1.4-2.8万·16薪,经验不限,本科
Java/Python/C/C++/Web/测试工程师,外企德科数字技术有限公司,深圳·龙岗·坂田,1.4-2.8万·16薪,经验不限,本科
c++/python/java/c/算法/测试,外企德科数字技术有限公司,深圳·龙岗·坂田,1.5-3万·14薪,经验不限,本科
c++/python/java/c/算法/测试,外企德科数字技术有限公司,深圳·龙岗·坂田,1.5-3万·14薪,经验不限,本科
c++/python/java/c/算法/测试,外企德科数字技术有限公司,西安·雁塔·漳浒寨,1.5-3万·14薪,经验不限,本科
c++/python/java/c/算法/测试,外企德科数字技术有限公司,西安·雁塔·漳浒寨,1.5-3万·14薪,经验不限,本科
测试/前端/后端开发工程师Java/C/C++/JS/Python,外企德科数字技术有限公司,深圳·龙岗·坂田,1.4-2.8万·14薪,经验不限,本科
测试/前端/后端开发工程师Java/C/C++/JS/Python,外企德科数字技术有限公司,深圳·龙岗·坂田,1.4-2.8万·14薪,经验不限,本科
算法工程师/C/C#/C++/java/python/js,外企德科数字技术有限公司,西安·雁塔·漳浒寨,1.3-2.6万·14薪,经验不限,本科
算法工程师/C/C#/C++/java/python/js,外企德科数字技术有限公司,西安·雁塔·漳浒寨,1.3-2.6万·14薪,经验不限,本科
JAVA/C++/C/Python 14薪双休 应届生可投,外企德科数字技术有限公司,上海·浦东·花木,1.5-3万,经验不限,本科
JAVA/C++/C/Python 14薪双休 应届生可投,外企德科数字技术有限公司,上海·浦东·花木,1.5-3万,经验不限,本科
测试/前端/后端开发工程师Java/C/C++/JS/Python,外企德科数字技术有限公司,东莞·大朗镇,1.5-3万·14薪,经验不限,本科
测试/前端/后端开发工程师Java/C/C++/JS/Python,外企德科数字技术有限公司,东莞·大朗镇,1.5-3万·14薪,经验不限,本科
C/C++/Java/JS/Python软件开发【全国有岗】,外企德科数字技术有限公司,贵阳·花溪,1.5-3万·14薪,经验不限,本科
C/C++/Java/JS/Python软件开发【全国有岗】,外企德科数字技术有限公司,贵阳·花溪,1.5-3万·14薪,经验不限,本科
接受小白，python、c、c++、Java一种开发语言即可,外企德科数字技术有限公司,东莞·大朗镇,1.6-3万,经验不限,本科
接受小白，python、c、c++、Java一种开发语言即可,外企德科数字技术有限公司,东莞·大朗镇,1.6-3万,经验不限,本科
C/C++/Java/Python/JS软件开发/算法/数据,外企德科数字技术有限公司,南宁·青秀·津头,1.7-3万·15薪,经验不限,本科
C/C++/Java/Python/JS软件开发/算法/数据,外企德科数字技术有限公司,南宁·青秀·津头,1.7-3万·15薪,经验不限,本科
java/Python/C/C++/JS/AI算法/软件测试,外企德科数字技术有限公司,东莞·大朗镇,2-4万·14薪,经验不限,本科
java/Python/C/C++/JS/AI算法/软件测试,外企德科数字技术有限公司,东莞·大朗镇,2-4万·14薪,经验不限,本科
ai算法工程师（c、c++、java、python),外企德科数字技术有限公司,东莞·大朗镇,1.1-1.6万,经验不限,学历不限
ai算法工程师（c、c++、java、python),外企德科数字技术有限公司,东莞·大朗镇,1.1-1.6万,经验不限,学历不限
软件开发（多语言 Java Python C/C++js等测试,外企德科数字技术有限公司,东莞·大朗镇,1.2-2.4万,经验不限,本科
软件开发（多语言 Java Python C/C++js等测试,外企德科数字技术有限公司,东莞·大朗镇,1.2-2.4万,经验不限,本科
java/c/python/测试 双休 高薪 五险一金,外企德科数字技术有限公司,济南·历下·龙洞,1.5-3万·14薪,经验不限,本科
java/c/python/测试 双休 高薪 五险一金,外企德科数字技术有限公司,济南·历下·龙洞,1.5-3万·14薪,经验不限,本科
软件通用岗位/接受应届考研考公失败 java/python/C++/测试/C/GO/大数据开发,外企德科数字技术有限公司,东莞·大朗镇,1.5-3万·14薪,经验不限,本科
软件通用岗位/接受应届考研考公失败 java/python/C++/测试/C/GO/大数据开发,外企德科数字技术有限公司,东莞·大朗镇,1.5-3万·14薪,经验不限,本科
Java/C++/python/c/算法岗位,外企德科数字技术有限公司,桂林·临桂区·临桂镇,1.5-3万,经验不限,本科
Java/C++/python/c/算法岗位,外企德科数字技术有限公司,桂林·临桂区·临桂镇,1.5-3万,经验不限,本科
东莞Java开发（BPIT本科-2年以上）,软通动力信息技术(集团)股份有限公司,东莞·寮步镇,1.1-1.4万,3-5年,本科
东莞Java开发（BPIT本科-2年以上）,软通动力信息技术(集团)股份有限公司,东莞·寮步镇,1.1-1.4万,3-5年,本科
东莞Java开发（BPIT本科-2年以上）,软通动力信息技术(集团)股份有限公司,东莞·寮步镇,1.1-1.4万,3-5年,本科
东莞Java开发（BPIT本科-2年以上）,软通动力信息技术(集团)股份有限公司,东莞·寮步镇,1.1-1.4万,3-5年,本科
java后端工程师,南京利智禾软件科技有限公司,南京·溧水·柘塘,1-1.3万,3-5年,本科
java后端工程师,南京利智禾软件科技有限公司,南京·溧水·柘塘,1-1.3万,3-5年,本科
Java软件开发工程师,北京盛安同力科技开发有限公司,西安·长安·韦曲,8000-16000元,1-3年,本科
Java软件开发工程师,北京盛安同力科技开发有限公司,西安·长安·韦曲,8000-16000元,1-3年,本科
java软件开发工程师,沃科智融(北京)科技有限公司,成都·武侯·机投桥,1-2万,5-10年,本科
java软件开发工程师,沃科智融(北京)科技有限公司,成都·武侯·机投桥,1-2万,5-10年,本科
Java高级开发工程师,江苏苍龙琪信息技术有限公司,上海·浦东·南码头路,1.5-2.8万,5-10年,本科
Java高级开发工程师,江苏苍龙琪信息技术有限公司,上海·浦东·南码头路,1.5-2.8万,5-10年,本科
深圳Java开发（BPIT-本科2年以上）,软通动力信息技术(集团)股份有限公司,深圳·龙岗·坂田,1.1-1.4万,3-5年,本科
深圳Java开发（BPIT-本科2年以上）,软通动力信息技术(集团)股份有限公司,深圳·龙岗·坂田,1.1-1.4万,3-5年,本科
java开发-四川建行,成都高伟达信息技术有限公司,成都·青羊·西御河,8000-14000元,3-5年,本科
java开发-四川建行,成都高伟达信息技术有限公司,成都·青羊·西御河,8000-14000元,3-5年,本科
Java开发,亚信万联科技(南京)有限公司,深圳·福田·沙头,8000-9000元,1-3年,本科
Java开发,亚信万联科技(南京)有限公司,深圳·福田·沙头,8000-9000元,1-3年,本科
高级java研发工程师-RS,南京数之赢科技有限公司,北京·海淀,1.4-1.6万,5-10年,本科
高级java研发工程师-RS,南京数之赢科技有限公司,北京·海淀,1.4-1.6万,5-10年,本科
java架构师,天津联创优才人力资源管理有限公司,天津·滨海新区·大沽,8000-12000元,3-5年,本科
java架构师,天津联创优才人力资源管理有限公司,天津·滨海新区·大沽,8000-12000元,3-5年,本科
Java,中安华邦(北京)安全生产技术研究院股份有限公司,太原·小店·平阳路,6000-10000元,1-3年,本科
Java,中安华邦(北京)安全生产技术研究院股份有限公司,太原·小店·平阳路,6000-10000元,1-3年,本科
中级java工程师,北京海华鑫安生物信息技术有限责任公司,北京·海淀·羊坊店,1.3-1.6万,3-5年,本科
中级java工程师,北京海华鑫安生物信息技术有限责任公司,北京·海淀·羊坊店,1.3-1.6万,3-5年,本科
JAVA高级研发工程师（电力行业信息化）,华普电力有限公司,重庆·江北,1-1.5万,5-10年,本科
JAVA高级研发工程师（电力行业信息化）,华普电力有限公司,重庆·江北,1-1.5万,5-10年,本科
金融Java开发,鹏讯科技(大连)有限公司,南京·建邺·双闸,1-1.2万,3-5年,本科
金融Java开发,鹏讯科技(大连)有限公司,南京·建邺·双闸,1-1.2万,3-5年,本科
H82347岗 Java开发工程师,武汉佰钧成技术有限责任公司,武汉·江夏·豹澥,9000-11000元,经验不限,本科
H82347岗 Java开发工程师,武汉佰钧成技术有限责任公司,武汉·江夏·豹澥,9000-11000元,经验不限,本科
java后端工程师,南京利智禾软件科技有限公司,南京·溧水·柘塘,9000-12000元,3-5年,本科
java后端工程师,南京利智禾软件科技有限公司,南京·溧水·柘塘,9000-12000元,3-5年,本科
JAVA开发工程师,杭州典旭科技有限公司,杭州·萧山·盈丰,9000-12000元,3-5年,本科
JAVA开发工程师,杭州典旭科技有限公司,杭州·萧山·盈丰,9000-12000元,3-5年,本科
java全栈工程师,四川爱绿环保科技有限公司,杭州·上城·望江,1.5-1.8万,1-3年,大专
java全栈工程师,四川爱绿环保科技有限公司,杭州·上城·望江,1.5-1.8万,1-3年,大专
java开发工程师,软通动力信息技术(集团)股份有限公司,深圳·龙岗·坂田,1-1.7万,3-5年,本科
java开发工程师,软通动力信息技术(集团)股份有限公司,深圳·龙岗·坂田,1-1.7万,3-5年,本科
JAVA工程师,万古人力科技集团有限公司,天津·西青·张家窝,2-3万,3-5年,本科
JAVA工程师,万古人力科技集团有限公司,天津·西青·张家窝,2-3万,3-5年,本科
高级java工程师,首聘(北京)科技有限公司,北京·朝阳·酒仙桥,1.2-1.3万,1-3年,大专
高级java工程师,首聘(北京)科技有限公司,北京·朝阳·酒仙桥,1.2-1.3万,1-3年,大专
高级java工程师,首聘(北京)科技有限公司,北京·朝阳·酒仙桥,1.2-1.3万,1-3年,大专
高级java工程师,首聘(北京)科技有限公司,北京·朝阳·酒仙桥,1.2-1.3万,1-3年,大专
java全栈工程师,四川爱绿环保科技有限公司,杭州·西湖·古荡,1.5-1.8万,1-3年,大专
java全栈工程师,四川爱绿环保科技有限公司,杭州·西湖·古荡,1.5-1.8万,1-3年,大专
java后端开发工程师,成都市达岸信息技术有限公司,成都·武侯·肖家河,6000-8000元,3-5年,本科
java后端开发工程师,成都市达岸信息技术有限公司,成都·武侯·肖家河,6000-8000元,3-5年,本科
武汉Java开发（BPIT-本科2年以上）,软通动力信息技术(集团)股份有限公司,武汉·洪山·花山,1-1.2万,3-5年,本科
武汉Java开发（BPIT-本科2年以上）,软通动力信息技术(集团)股份有限公司,武汉·洪山·花山,1-1.2万,3-5年,本科
java开发工程师,山东骏腾医疗科技有限公司,济南·历下·舜华路,9000-13000元,3-5年,本科
java开发工程师,山东骏腾医疗科技有限公司,济南·历下·舜华路,9000-13000元,3-5年,本科
Java开发工程师,北京天舟宇航智能科技有限公司,北京·朝阳,6000-10000元,1-3年,本科
Java开发工程师,北京天舟宇航智能科技有限公司,北京·朝阳,6000-10000元,1-3年,本科
初级java开发工程师,天津市盛为创新科技股份有限公司,天津·河西·大营门,1.2-1.5万,1-3年,本科
初级java开发工程师,天津市盛为创新科技股份有限公司,天津·河西·大营门,1.2-1.5万,1-3年,本科
Java,安徽闻天信息技术有限公司,南京·建邺·沙洲,1.1-1.3万,5-10年,本科
Java,安徽闻天信息技术有限公司,南京·建邺·沙洲,1.1-1.3万,5-10年,本科
java游戏服务器开发工程师,武汉像素工坊动画传媒有限公司,武汉·江夏·佛祖岭,1.2-1.5万,1-3年,大专
java游戏服务器开发工程师,武汉像素工坊动画传媒有限公司,武汉·江夏·佛祖岭,1.2-1.5万,1-3年,大专
中级 Java 开发工程师,天津市盛为创新科技股份有限公司,天津·河西·大营门,1.5-1.8万,3-5年,本科
中级 Java 开发工程师,天津市盛为创新科技股份有限公司,天津·河西·大营门,1.5-1.8万,3-5年,本科
高级java工程师,北京兆新软件科技有限公司,济南·历下·舜华路,9000-12000元,5-10年,本科
高级java工程师,北京兆新软件科技有限公司,济南·历下·舜华路,9000-12000元,5-10年,本科
java开发高级工程师,西安多普多信息科技有限公司,西安·碑林·张家村,1.5-3万,3-5年,本科
java开发高级工程师,西安多普多信息科技有限公司,西安·碑林·张家村,1.5-3万,3-5年,本科
服务端JAVA开发工程师,西安火眼智能检测研究院有限公司,西安·丈八沟,1.5-2万,10年以上,本科
服务端JAVA开发工程师,西安火眼智能检测研究院有限公司,西安·丈八沟,1.5-2万,10年以上,本科
中级java开发工程师-银行驻场-试用期不打折,上海汉朔信息科技有限公司,上海·浦东·周家渡,1.5-1.6万,3-5年,本科
中级java开发工程师-银行驻场-试用期不打折,上海汉朔信息科技有限公司,上海·浦东·周家渡,1.5-1.6万,3-5年,本科
JAVA开发高级/资深工程师,南京坦道信息科技有限公司,西安·雁塔·丈八沟,1-1.6万,5-10年,本科
JAVA开发高级/资深工程师,南京坦道信息科技有限公司,西安·雁塔·丈八沟,1-1.6万,5-10年,本科
JAVA开发（线上面试，项目稳定，双休）,软通动力信息技术(集团)股份有限公司,武汉·洪山·花山,1-1.5万,3-5年,本科
JAVA开发（线上面试，项目稳定，双休）,软通动力信息技术(集团)股份有限公司,武汉·洪山·花山,1-1.5万,3-5年,本科
java开发,南京绛门信息科技有限公司,福州·鼓楼·鼓东,1-1.5万,1-3年,本科
java开发,南京绛门信息科技有限公司,福州·鼓楼·鼓东,1-1.5万,1-3年,本科
10-12k中级java（双休+工作餐+五险）,广西阿泰信息科技有限公司,南宁·西乡塘·心圩,1-1.2万,3-5年,本科
10-12k中级java（双休+工作餐+五险）,广西阿泰信息科技有限公司,南宁·西乡塘·心圩,1-1.2万,3-5年,本科
Java运维（JAVA开发转JAVA运维，电话面试）,软通动力信息技术(集团)股份有限公司,西安·长安·王寺,7000-11000元,3-5年,本科
Java运维（JAVA开发转JAVA运维，电话面试）,软通动力信息技术(集团)股份有限公司,西安·长安·王寺,7000-11000元,3-5年,本科
java开发工程师,江苏华瞻信息科技有限公司,南京·江宁·淳化,7000-13000元,1-3年,本科
java开发工程师,江苏华瞻信息科技有限公司,南京·江宁·淳化,7000-13000元,1-3年,本科
Java（短期）-深圳,成都迈思信息技术有限公司,深圳·福田·福田街道,8000-13000元,3-5年,本科
Java（短期）-深圳,成都迈思信息技术有限公司,深圳·福田·福田街道,8000-13000元,3-5年,本科
Java（短期）-深圳,成都迈思信息技术有限公司,深圳·福田·福田街道,8000-13000元,3-5年,本科
Java（短期）-深圳,成都迈思信息技术有限公司,深圳·福田·福田街道,8000-13000元,3-5年,本科
银行Java开发（工行/线上）,软通动力信息技术(集团)股份有限公司,杭州·西湖·古荡,1.3-2万,5-10年,本科
银行Java开发（工行/线上）,软通动力信息技术(集团)股份有限公司,杭州·西湖·古荡,1.3-2万,5-10年,本科
java后端工程师,湖南拓维云创科技有限责任公司,南京·江宁·秣陵,1-1.8万,5-10年,本科
java后端工程师,湖南拓维云创科技有限责任公司,南京·江宁·秣陵,1-1.8万,5-10年,本科
java后端工程师,八六三软件,北京·丰台·太平桥,1.2-1.5万,5-10年,本科
java后端工程师,八六三软件,北京·丰台·太平桥,1.2-1.5万,5-10年,本科
Java开发工程师（IoT方向）,北京三快在线科技有限公司,北京,面议,3-5年,本科
Java开发工程师（IoT方向）,北京三快在线科技有限公司,北京,面议,3-5年,本科
急招 java开发工程师/年薪24-55k/五险一金,上海赞华实业有限公司,杭州·西湖·古荡,2-4万,5-10年,本科
急招 java开发工程师/年薪24-55k/五险一金,上海赞华实业有限公司,杭州·西湖·古荡,2-4万,5-10年,本科
Java开发（浦发）,软通动力信息技术(集团)股份有限公司,合肥·包河·滨湖世纪社区,1-1.3万,3-5年,本科
Java开发（浦发）,软通动力信息技术(集团)股份有限公司,合肥·包河·滨湖世纪社区,1-1.3万,3-5年,本科
Java开发工程师（新能源大厂 财经系统）,拓保软件,北京·顺义·高丽营,1.8-2万,5-10年,本科
Java开发工程师（新能源大厂 财经系统）,拓保软件,北京·顺义·高丽营,1.8-2万,5-10年,本科
中级Java开发工程师-RS,南京数之赢科技有限公司,北京·海淀,1.2-1.3万,3-5年,本科
中级Java开发工程师-RS,南京数之赢科技有限公司,北京·海淀,1.2-1.3万,3-5年,本科
银行Java开发（上海）,软通动力信息技术(集团)股份有限公司,上海·虹口·曲阳路,1.2-1.6万,3-5年,本科
银行Java开发（上海）,软通动力信息技术(集团)股份有限公司,上海·虹口·曲阳路,1.2-1.6万,3-5年,本科
